# (c) Der Bundeswahlleiter, Wiesbaden 2017
# 
# Wahl zum 19. Deutschen Bundestag (24. September 2017)
# Endgültige Ergebnisse der Erst- und Zweitstimmen sowie der Vorperiode nach Wahlkreisen
# 
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Magdeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
181;Main-Taunus;6;197291;196605;197291;196605;160647;155145;160647;155145;2122;4078;1788;3226;158525;151067;158859;151919;66490;79353;54902;66598;34527;40927;28786;34156;7887;6355;9504;6406;14458;12453;16752;15057;;;;;17224;6472;26571;13100;15319;;16395;10470;;3729;561;2773;;1778;337;1003;2620;;1293;1212;;;1500;;;;340;;;;1173;549;;;;;;;;;;;;;;;33;35;;;26;53;;;;63;;;;;;;;;;;;;;;;;;;216;;;;;;;;24;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;444;
182;Frankfurt am Main I;6;199775;195615;199775;195615;144841;133575;144841;133575;1792;3056;1614;2687;143049;130519;143227;130888;43663;52427;37221;43883;38704;43124;29743;35106;13934;10280;17179;11684;15596;12875;19475;17398;;;;;13185;4125;19989;9209;12892;;13342;6983;969;3066;692;3117;;1148;315;949;1307;1586;725;904;;;1399;;;;266;;2493;939;1755;869;;;;;;;;;;;;;209;;134;56;;177;31;85;97;;;62;;;;;;;;;;;;;;;;;;;331;;;;;;;;53;;;;325;;;;;;;;;;;;;;;;;;;;;;;;;;;;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;772;;583;
183;Frankfurt am Main II;6;223942;219357;223942;219357;172393;159914;172393;159914;1824;2937;1620;2901;170569;156977;170773;157013;55221;57004;45731;53198;44240;47854;33511;41360;15523;9547;20059;12778;23026;21184;26415;24165;;;;;13877;5434;24336;10979;13033;5155;13737;7669;1226;2858;762;3426;;1015;265;930;1026;988;736;932;;;1577;;;;295;;3221;1155;2065;1006;;;;;;;;;;;;;176;;114;54;;101;30;87;;;;69;;;;;;;;;;;;;;;;;;;435;;;;;;;;91;;;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4682;;360;
184;Groß-Gerau;6;174727;174002;174727;174002;133318;127383;133318;127383;2461;4079;2138;3694;130857;123304;131180;123689;45963;52087;39950;45389;42342;46942;33318;37781;8729;7645;10755;7693;8877;9502;11862;13129;;;;;7358;2489;12645;5762;14805;;15943;6939;;4639;962;2989;;;403;1430;2507;;1387;1036;;;1463;;;;201;;;;1192;643;;;;;;;;;;;;;276;;124;76;;;42;52;;;;61;;;;;;;;;;;;;;;;;;;244;;;;;;;;81;;;;386;;;;;;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;709;
185;Offenbach;6;220194;221650;220194;221650;163580;158240;163580;158240;2597;4637;2286;3990;160983;153603;161294;154250;58565;69930;49302;59905;40106;47984;34519;40203;12435;9479;14261;10205;14246;12548;16421;16503;;;;;12420;4376;20372;9836;18047;;19050;8994;1586;3780;945;3627;;2538;429;1663;3056;2968;1363;1461;;;1642;;;;285;;;;1564;839;;;;;;;;;;;;;;;77;40;;;38;49;;;;75;;;;;;;;;;;;;;;;;;;354;;;;;;;;56;;;;322;;;;;;;;;;;;;;;;;;;;;;;;;;;;294;;;;;;;;;;522;;;;;;;;;;;;;;;;;;;;;;;;;;;850;
186;Darmstadt;6;242622;240017;242622;240017;192508;180790;192508;180790;2733;4193;2133;4090;189775;176597;190375;176700;58216;63397;52218;61677;56442;65820;42638;50416;16146;9111;19508;11866;26939;20704;27317;25149;;;;;11739;4306;20893;8945;17227;6789;18654;9169;;5033;1352;5508;;1437;450;1354;2576;;1192;933;;;1820;;;;534;;;;2280;991;;;;;;;;;;;;;490;;186;96;;;39;62;;;;77;;;;;;;;;;;;;;;;;;;483;;;;;;;;64;;;;409;;;;;;;;;;;;;;;;;;;;;;;;;;;;338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;457;
187;Odenwald;6;234422;234360;234422;234360;184974;177273;184974;177273;3143;6023;2745;5441;181831;171250;182229;171832;65654;80323;59635;70211;52761;57586;42516;48252;11138;8621;13433;9459;14181;11854;16084;15560;;;;;13139;4581;19948;8964;21347;;22258;9864;;5279;833;4034;;3006;624;2035;2651;;1514;1307;;;2091;;;;379;;;;1587;833;;;;;;;;;;;;;;;117;76;;;30;101;;;;83;;;;;;;;;;;;;;;;;;;293;;;;;;;;135;;;;409;;;;;;;;;;;;;;;;;;;;;;;;;;;;343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;960;;;1053;
188;Bergstraße;6;198418;199685;198418;199685;156082;148381;156082;148381;2343;3252;1988;3822;153739;145129;154094;144559;59781;70131;51088;61337;41408;46099;34435;39838;8511;5730;10197;7025;11747;8222;13595;12520;;;;;11711;2795;18196;7975;19153;6129;19923;8134;;2779;688;2951;;1635;545;1589;;1609;1227;1602;;;1793;;;;254;;;;1261;628;;;;;;;;;;;;;;;57;32;;;48;67;;;;62;;;;;;;;;;;;;;;;;;;243;;;;;;;;27;;;;298;;;;;;;;;;;;;;;;;;;;;;;;;;;;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1428;;;799;
6;Hessen;99;4408986;4413271;4408986;4413271;3395441;3230483;3395441;3230483;50889;89214;46541;82392;3344552;3141269;3348900;3148091;1185393;1399206;1033200;1232994;974954;1080828;788427;906906;220145;167135;271158;188654;270221;236653;323736;313135;;;;;238437;81708;386742;175144;375528;37910;398712;176319;5844;74084;14448;64655;4423;38635;11904;34115;48199;11727;28507;24929;;;34079;;;;6042;;13786;3869;30500;15033;;;;;;;;;;;;;1869;325;1627;1071;;613;721;1536;97;;;1444;;;;;;;;;;;;;;;;;;;6320;;;;;;234;;1138;;;;6393;;;;;;;;;;;;;;;;;;;;;;;;;;;;5246;;;;;;;;;;522;;;;;;;;;;;;;;;;;;;;;;;;4900;8576;;12156;
;
189;Eichsfeld – Nordhausen – Kyffhäuserkreis;16;216673;225206;216673;225206;158339;152177;158339;152177;2264;2422;2410;2257;156075;149755;155929;149920;59318;71768;52667;65251;22320;24486;21652;22951;23848;33407;22613;32463;3992;4512;4778;5571;;;;;7633;2066;11974;4068;33402;;32854;7562;;3540;503;2898;;5542;2473;4769;2869;2158;2167;2435;;;;;1929;2276;1166;1578;;;1474;;;;;;;;;;;;;;;;153;128;;;;;;;;;;;;;;;;;;;;;;;;;;;865;;;;;;;;;;;;349;;;;;;;;;;;;;;;;;;;;;;;;;;;;241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;764;;;246;
190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;16;222558;231502;222558;231502;163154;155409;163154;155409;2314;2729;2268;2376;160840;152680;160886;153033;55378;66311;48340;61390;24478;28484;23206;26096;24899;35851;25171;34454;5066;4892;5596;6214;;;;;8075;2445;11545;3843;34052;;35824;7824;;3983;676;3109;3193;6758;3019;5805;5010;3561;3185;2915;;;;;;395;563;864;;;1857;;;;;;;;;;;;;;689;;369;223;;;;;;;;;;;;;;;;;;;;;;;;;;;620;;;;;;;;;;;;608;;;;;;;;;;;;;;;;;;;;;;;;;;;;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;296;
191;Jena – Sömmerda – Weimarer Land I;16;203210;208560;203210;208560;155210;146403;155210;146403;2315;2463;1854;2267;152895;143940;153356;144136;44684;55474;42092;51871;21668;28530;19150;23693;32680;36084;28312;33273;7544;7625;9497;10495;;;;;8939;2865;13310;4557;29451;2566;30426;8297;;5292;790;4730;;4502;1660;3880;5612;370;2815;1876;;;;;;541;653;976;;;2841;;;;;;;;;;;91;;;;;164;157;;;;;;;;;;;;;;;;;;;;;;;;;;;641;;;;;;;;;;;;531;;;;;;;;;;;;;;;;;;;;;;;;;;;;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2317;;;331;
192;Gotha – Ilm-Kreis;16;198341;205859;198341;205859;148065;141461;148065;141461;2470;2388;2187;2369;145595;139073;145878;139092;42221;51861;40576;53196;27120;34726;20391;23815;22674;28015;22920;30758;4809;4117;5411;6414;;;;;8775;1879;11218;3280;34798;8063;35091;10309;;3656;733;3566;;4689;1824;4416;5198;2067;2691;2079;;;;;;;541;734;;;2654;;;;;;;;;;;;;;;;193;182;;;;;;;;;;;;;;;;;;;;;;;;;;;459;;;;;;;;;;;;829;;;;;;;;;;;;;;;;;;;;;;;;;;;;347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;343;
193;Erfurt – Weimar – Weimarer Land II;16;221922;224121;221922;224121;168235;156367;168235;156367;2310;2689;2077;2261;165925;153678;166158;154106;45305;56992;42168;53123;30257;36694;23535;27159;30948;35917;32239;35421;11722;9151;12666;13125;;;;;9975;1781;14260;4015;28960;;30166;9328;1668;5670;1143;4849;;4774;1129;3554;1858;2699;1598;2012;;;;;1541;;1084;1005;3691;;3715;;;;;;;;;;;;;;;;240;248;;;;;;;;;;;;;;;;;;;;;;;;;;;951;;;;;;;;;;;;663;;;;;;;;;;;;;;;;;;;;;;;;;;;;601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;267;
194;Gera – Greiz – Altenburger Land;16;240738;253082;240738;253082;176933;171075;176933;171075;2820;3175;2541;2993;174113;167900;174392;168082;52980;71720;47690;67024;20627;23785;19845;23934;32573;44078;30402;42142;3652;4683;4709;5944;;;;;9712;2378;14315;4312;47558;10457;47275;12735;;4112;733;3408;;5838;2060;5555;3620;421;2508;1583;;;;;;274;629;843;;;2056;;;;;;;;;;;154;;;;;194;251;;;;;;;;;;;;;;;;;;;;;;;;;;;523;;;;;;;;;;;;728;;;;;;;;;;;;;;;;;;;;;;;;;;1201;;725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2190;;;351;
195;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;16;229126;239724;229126;239724;171879;165581;171879;165581;2527;3430;2128;2779;169352;162151;169751;162802;52311;66864;47769;62222;19753;30353;20427;24759;28926;41324;28088;39629;5726;6222;5124;6610;;;;;10323;3562;13209;4156;44894;2895;43740;11730;;941;736;3726;;7466;2083;5883;5717;565;3300;2385;;;;;;374;733;1035;;;2494;;;;;;;;;;;106;;;;595;240;279;;;;;;;;;;;;;;;;;;;;;;;;;;;654;;;;;;;;;;;;729;;;;;;;;;;;;;;;;;;;;;;;;;;;;425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1702;884;;388;
196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;16;234446;246205;234446;246205;170237;162930;170237;162930;2365;2723;2139;2408;167872;160207;168098;160522;56316;67093;50956;63206;22579;29444;22826;26307;30646;44145;28467;40475;4408;4724;5559;6138;;;;;8147;2306;11298;3870;38351;;38693;8228;1176;3586;743;3213;;6467;1835;5245;3823;2033;2867;2328;;;;;1822;;1029;865;;;2041;;;;;;;;;;;;;;604;240;349;276;;;;;;;;;;;;;;;;;;;;;;;;;;;594;;;;;;;;;;;;511;;;;;;;;;;;;;;;;;;;;;;;;;;;;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;;371;
16;Thüringen;99;1767014;1834259;1767014;1834259;1312052;1251403;1312052;1251403;19385;22019;17604;19710;1292667;1229384;1294448;1231693;408513;508083;372258;477283;188802;236502;171032;198714;227194;298821;218212;288615;46919;45926;53340;60511;;;;;71579;19282;101129;32101;291466;23981;294069;76013;2844;30780;6057;29499;3193;46036;16083;39107;33707;13874;21131;17613;;;;;5292;3860;6398;7900;3691;;19132;;;;;;;;;;;351;;;1293;835;1902;1744;;;;;;;;;;;;;;;;;;;;;;;;;;;5307;;;;;;;;;;;;4948;;;;;;;;;;;;;;;;;;;;;;;;;;1201;;3450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6973;1053;;2593;
;
197;Neuwied;7;239284;240333;239284;240333;181607;173536;181607;173536;3402;3247;2547;2380;178205;170289;179060;171156;76933;79785;68357;78005;50996;63453;45447;48866;9521;7655;11338;8965;9449;6779;10738;10661;;;;;10898;3906;18071;8023;16954;;19273;8759;;3418;726;3249;;2179;480;1610;3285;3114;1982;1657;;;;;;;374;322;;;1495;;;;;;;;;;;;;354;169;;86;68;;;;;;;;;;;;;;;;;;;;;;;;;;;297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;617;
198;Ahrweiler;7;195618;195077;195618;195077;151587;142594;151587;142594;1992;3103;1598;1934;149595;139491;149989;140660;64006;77379;60937;68680;40944;39071;34113;34660;6790;6221;8519;6569;8616;7813;10059;9287;;;;;12981;3313;17397;7897;13105;;14437;7328;1268;4255;623;2920;;;415;1067;;;1134;929;;;;;;1439;367;555;;;1297;;;;;;;;;;;;;261;;;37;34;;;;;;;;;;;;;;;;;;;;;;;;;;;267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1885;;;473;
199;Koblenz;7;196999;198113;196999;198113;151153;142888;151153;142888;2144;3193;1524;2025;149009;139695;149629;140863;61594;67046;56616;63427;42777;43094;35679;38221;7693;6901;10332;7358;9273;11184;11862;10853;;;;;9732;3772;16152;7595;12153;;13701;6625;1058;3953;741;3073;;;252;938;2623;3745;1627;1714;;;;;;;302;324;1723;;1715;;;;;;;;;;;;;248;;;38;29;;;;;;;;;;;;;;;;;;;;;;;;;;;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;383;;;458;
200;Mosel/Rhein-Hunsrück;7;172876;175441;172876;175441;135519;129262;135519;129262;2691;3111;1815;2310;132828;126151;133704;126952;58596;67658;55606;62703;33477;35146;30799;31202;7040;5647;8143;6139;6465;5083;7487;7257;;;;;11544;3990;14924;7948;10834;;11996;5323;;2606;464;2352;;1273;306;1057;3741;3918;1708;1698;;;;;1131;830;491;477;;;1182;;;;;;;;;;;;;318;;;32;36;;;;;;;;;;;;;;;;;;;;;;;;;;;217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;442;
201;Kreuznach;7;185172;187473;185172;187473;139908;132299;139908;132299;2114;3409;1697;2495;137794;128890;138211;129804;50975;53324;47189;53335;43373;48521;37906;40708;7610;6688;9493;7485;6750;5733;8629;8221;;;;;9342;3767;13654;7236;14914;;16198;6180;;2996;487;2394;;1772;366;1434;3629;5194;1910;1745;;;;;1201;;492;253;;;1316;;;;;;;;;;;;;283;;;31;32;;;;;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;895;;498;
202;Bitburg;7;164480;166313;164480;166313;126879;119298;126879;119298;2497;2706;1831;2031;124382;116592;125048;117267;63719;65252;55591;61192;32017;30613;27255;26189;6786;3867;7433;5134;;5775;7710;7165;;;;;8703;3807;12888;7136;8840;;10058;4264;;2068;377;2159;;1063;232;904;2927;2875;1627;1925;;;;;1390;429;477;305;;;952;;;;;;;;;;;843;;550;;;24;33;;;;;;;;;;;;;;;;;;;;;;;;;;;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;311;
203;Trier;7;192846;193803;192846;193803;151551;141134;151551;141134;2213;3321;1670;2610;149338;137813;149881;138524;56611;67281;55882;60909;50283;42879;36950;36410;9842;7687;12934;8688;9645;9555;13512;13157;;;;;7910;2656;13841;6841;10414;;11926;5736;;3863;605;3508;213;1287;242;1043;1617;1653;1418;1289;;;;;;;338;290;1869;952;1590;;;;;;;;;;;;;268;;;37;76;;;;;;;;;;;;;;;;;;;;;;;;;;;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;934;;;309;
204;Montabaur;7;210114;211010;210114;211010;163520;155100;163520;155100;4823;3327;1761;2269;158697;151773;161759;152831;68727;74887;60594;69119;47312;47097;39906;42500;11098;7217;9576;7724;8225;9014;10058;9646;;;;;14543;3714;17703;7994;;;17826;7831;;3707;688;3104;;2341;421;1705;8792;3796;2445;1945;;;;;;;275;291;;;1500;;;;;;;;;;;;;316;;;34;77;;;;;;;;;;;;;;;;;;;;;;;;;;;308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;579;
205;Mainz;7;248996;245612;248996;245612;202534;188171;202534;188171;2215;3431;1655;2413;200319;184740;200879;185758;71535;74083;65713;71290;56184;64340;44203;49232;12904;8005;17148;10266;21685;18825;26415;24728;;;;;13813;9188;22608;12166;14542;;16535;8399;1504;4966;1195;4646;;;260;988;2111;2480;1506;1352;;;;;2355;1785;1755;1294;2963;;2486;;;;;;;;;;;798;;466;;;62;67;;270;;;;;;;;;;;;;;;;;;;;;;;;;481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;512;;;;;;;;;;;;;;;;;;;;;;;;;;237;;;;;;;;486;;;864;
206;Worms;7;213627;212636;213627;212636;169793;156833;169793;156833;2617;3105;2128;2680;167176;153728;167665;154153;68685;64539;54721;60722;44569;56777;42471;46052;8539;5713;10811;7784;11280;8625;13449;12878;;;;;10058;4097;17543;9179;18902;6316;21978;8604;;2926;780;3291;511;2080;644;2188;2687;1939;2045;1665;;;;;1030;668;705;517;;;1623;;;;;;;;;;;32;;378;;;62;46;;16;;;;;;;;;;;;;;;;;;;;;;;;;362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;471;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;805;;;849;
207;Ludwigshafen/Frankenthal;7;215595;217129;215595;217129;161867;155005;161867;155005;2686;3243;2410;2585;159181;151762;159457;152420;51168;65746;49226;59425;50740;54003;39822;45001;8979;7476;10614;8538;8700;7247;11621;11042;;;;;11910;3773;16321;7952;23109;;24641;9224;;4179;978;3878;;2666;667;2177;4163;3939;2418;2162;;;;;;;322;283;;;1796;;;;;;;;;;;;;441;412;281;190;148;;;;;;;;;;;;;;;;;;;;;;;;;;;384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2452;;2149;
208;Neustadt – Speyer;7;220550;220643;220550;220643;176425;165435;176425;165435;2704;3865;2088;2632;173721;161570;174337;162803;69504;77345;61407;71072;44032;46217;37894;41982;8207;7244;10537;7871;13156;13054;15389;13915;;;;;11734;4355;19251;9337;20593;;22070;7995;;4189;774;3660;;2728;559;1778;5929;4528;3683;2835;;;;;;;363;427;;;1539;;;;;;;;;;;811;;611;;;67;45;;;;;;;;;;;;;;;;;;;;;;;;;;;329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;475;;;;;;261;;;;;;;;;1099;;;;;;;;;;;305;;;;;;;;;;;1275;
209;Kaiserslautern;7;229114;232164;229114;232164;172316;163010;172316;163010;2937;4024;2552;3142;169379;158986;169764;159868;53022;59086;49400;57376;57482;61253;47986;52242;12277;11813;13548;12107;8618;8446;11360;11430;;;;;9256;3584;15519;7315;21378;;23206;7101;;4810;930;4278;;3953;811;3080;4820;4145;3558;3031;;;;;;;343;323;2526;;2187;;;;;;;;;;;;;535;;;32;55;;;;;;;;;;;;;;;;;;;;;;;;;;;355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;529;;;;;;;;;;;;;;;1896;;;;;;;;;;;;;;;;;;;;;;995;
210;Pirmasens;7;177687;180540;177687;180540;135065;128753;135065;128753;2830;4085;2349;3159;132235;124668;132716;125594;48719;57201;47455;54877;38028;40180;32794;35108;8019;7486;9511;8172;5544;5059;6156;5960;;;;;8846;3446;11803;6344;16989;;18652;5461;;3326;628;3061;771;2429;833;2178;3430;3625;2388;2046;;;;;;;264;267;1889;;1573;;;;;;;;;;;;;483;;;45;42;;;;;;;;;;;;;;;;;;;;;;;;;;;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1916;;1595;
211;Südpfalz;7;217633;216137;217633;216137;172369;158661;172369;158661;2358;3545;1962;2817;170011;155116;170407;155844;68588;75748;59309;66523;44224;43385;37293;40537;8018;6308;10975;7538;13500;11064;14788;13172;;;;;10209;6217;17560;9677;20932;;23191;7584;;4608;796;4091;;2082;537;1833;4540;3159;2814;2166;;;;;;940;462;660;;;1706;;;;;;;;;;;;;410;;;65;71;;;;;;;;;;;;;;;;;;;;;;;;;;;391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1605;;1582;
7;Rheinland-Pfalz;99;3080591;3092424;3080591;3092424;2392093;2251979;2392093;2251979;40223;50715;29587;37482;2351870;2201264;2362506;2214497;932382;1026360;848003;958655;676438;716029;570518;608910;133323;105928;160912;120338;140906;133256;179233;169372;;;;;161479;63585;245235;122640;223659;6316;265688;106414;3830;55870;10792;49664;1495;25853;7025;23980;54294;48110;32263;28159;;;;;7107;6091;7330;6588;10970;952;23957;;;;;;;;;;;2484;;5922;581;281;842;859;;286;;;;;;;;;;;;;;;;;;;;;;;;;4505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6203;;;;;;371;;;;;;;;;2995;;;;;;;;;;;542;;;;;;;;4493;6868;;12996;
;
212;Altötting;9;168221;167160;168221;167160;126786;111846;126786;111846;1248;985;876;985;125538;110861;125910;110861;;;;;15479;15921;15511;16797;6060;2832;6659;3241;7584;6030;8608;6394;68435;72915;55417;64998;7070;2293;11209;4365;16486;3669;18330;4496;;2318;422;1902;;;295;702;;3841;3172;2884;;;1078;759;3637;;1685;1349;;;814;;;;1718;1485;;;;;;;;136;;;13;15;787;388;136;116;;;;;;;;;;;;;;;;;;;;;;;130;;;;127;;;;9;;;;216;;;;;;;;;;;;;;;;;;;;;;;;176;;;;185;;;;;;;;;;;654;;350;;;;;;;;213;;;;;;;;;;;;;;;;659;
213;Erding – Ebersberg;9;198198;192385;198198;192385;163357;143626;163357;143626;1109;1083;755;929;162248;142543;162602;142697;;;;;24131;27233;19943;23670;6418;3712;8352;4178;16607;11377;17768;12587;78212;78991;63525;72850;11889;3125;19407;7322;16689;6385;19366;7395;;;621;2611;;;268;607;;5469;4669;4443;;;1552;1029;4418;2992;2054;1976;;;1146;;3884;2791;2644;2177;;;;;;;;115;;;21;25;;;23;31;;;;;;;;;;;;;;;;;;;;;;;183;;;;298;;;;19;;;;260;;;;;;;;;;;;;;;;;;;;;;;;197;;;;286;;;;;;;;;;;;;171;;;;;;;;247;;;;;;;;;;;;;;468;;1263;
214;Freising;9;235746;231455;235746;231455;186647;166016;186647;166016;1470;1535;1015;1232;185177;164481;185632;164784;;;;;24916;28236;23029;26558;9265;4700;9506;5257;17439;18680;18036;14881;79545;88887;73650;85319;13400;4030;19308;7661;23222;6088;25178;7694;;3745;768;3317;;;485;1284;11878;7440;7076;6087;;;1792;1198;3250;2638;1805;1976;;37;1467;;2262;;2017;2137;;;;;;;;163;;;35;27;;;17;28;;;;;;;;;;;;;;;;;;;;;;;218;;;;319;;;;18;;;;364;;;;;;;;;;;;;;;;;;;;;;;;221;;;;323;;;;;;;;;;;;;205;;;;;;;;274;;;;;;;;;;;;;;;;718;
215;Fürstenfeldbruck;9;232125;228174;232125;228174;190769;171489;190769;171489;1469;1302;922;1089;189300;170187;189847;170400;;;;;35454;33713;25929;30862;7699;4543;9633;5121;17244;12830;20886;14955;82602;95234;75621;86764;13661;3754;22005;8398;19352;7938;21934;8985;;3847;636;3225;;;295;814;5882;5690;4545;4754;;;1773;1263;3018;2638;1790;1919;;;1270;;3080;;1946;1964;;;;;;;;133;;;44;38;;;22;24;;;;;;;;;;;;;;;;;;;;;;;279;;;;343;;;;28;;;;322;;;;;;;;;;;;;;;;;;;;;;;;219;;;;327;;;;;;;;;;;;;216;;;;;;;;251;;;;;;;;;;;;;1308;;;714;
216;Ingolstadt;9;238605;235284;238605;235284;184059;161027;184059;161027;1587;1243;1214;1360;182472;159784;182845;159667;;;;;24799;26660;24424;27909;8817;6388;9830;5796;11515;10554;13205;9936;90383;97729;76236;88710;9310;3230;17154;6850;23720;4509;27673;5635;;3326;631;2857;;;520;1350;7093;4721;5562;4672;;;1278;988;2656;2089;1755;1875;1859;578;1294;;2200;;1898;1625;;;;;;;;160;120;;61;26;;;23;22;;;;;;;;;;;;;;;;;;;;;;;165;;;;202;;;;19;;;;270;;;;;;;;;;;;;;;;;;;;;;;;248;;;;397;;;;;;;;;;;;;173;;;;;;;;249;;;;;;;;;;;;;;;;834;
217;München-Nord;9;226436;225557;226436;225557;174196;155942;174196;155942;1075;1185;668;698;173121;154757;173528;155244;;;;;45068;48625;28903;38350;10351;5722;14302;7088;22726;15962;29334;21174;55811;66930;49953;57100;16669;5749;26241;12778;13216;;14982;7106;;4979;750;4223;;1142;135;654;2752;2936;1869;2193;;;1354;1071;2893;2320;1419;1544;2188;;1590;;1168;;874;900;;;;;;;;128;160;164;79;60;119;228;38;56;;;;;;;;;;;;;;;;;;;;;;;360;;;;541;;;;40;;;;266;;;;;;;;;;;;;;;;;;;;;;;;174;;;;324;;;;;;;;;;;;;209;;;;;;;;196;;;;;;;;;;;;;;;;414;
